TransactionTuple(568,2541)
TransactionTuple(952,2457)
TransactionTuple(96,2352)
TransactionTuple(110,2163)
TransactionTuple(254,2149)
TransactionTuple(650,2142)
TransactionTuple(178,2121)
TransactionTuple(825,2086)
TransactionTuple(263,2079)
TransactionTuple(420,2058)
TransactionTuple(423,2058)
TransactionTuple(146,2058)
TransactionTuple(131,2044)
TransactionTuple(284,2037)
TransactionTuple(988,2023)
TransactionTuple(932,2023)
TransactionTuple(612,2023)
TransactionTuple(532,2023)
TransactionTuple(570,2016)
TransactionTuple(511,2009)
TransactionTuple(402,2009)
TransactionTuple(129,1995)
TransactionTuple(303,1988)
TransactionTuple(463,1967)
TransactionTuple(796,1967)
TransactionTuple(196,1960)
TransactionTuple(635,1960)
TransactionTuple(514,1953)
TransactionTuple(821,1953)
TransactionTuple(260,1946)
TransactionTuple(375,1939)
TransactionTuple(411,1932)
TransactionTuple(451,1925)
TransactionTuple(410,1925)
TransactionTuple(15,1918)
TransactionTuple(853,1911)
TransactionTuple(437,1911)
TransactionTuple(850,1904)
TransactionTuple(815,1897)
TransactionTuple(491,1897)
TransactionTuple(947,1890)
TransactionTuple(432,1883)
TransactionTuple(268,1883)
TransactionTuple(904,1876)
TransactionTuple(288,1869)
TransactionTuple(975,1869)
TransactionTuple(187,1869)
TransactionTuple(314,1869)
TransactionTuple(365,1862)
TransactionTuple(276,1862)
TransactionTuple(313,1862)
TransactionTuple(111,1862)
TransactionTuple(301,1855)
TransactionTuple(152,1855)
TransactionTuple(278,1855)
TransactionTuple(502,1855)
TransactionTuple(875,1848)
TransactionTuple(240,1848)
TransactionTuple(628,1841)
TransactionTuple(10,1841)
TransactionTuple(384,1841)
TransactionTuple(885,1841)
TransactionTuple(507,1841)
TransactionTuple(407,1841)
TransactionTuple(296,1841)
TransactionTuple(305,1841)
TransactionTuple(136,1841)
TransactionTuple(845,1834)
TransactionTuple(157,1827)
TransactionTuple(964,1827)
TransactionTuple(381,1820)
TransactionTuple(526,1820)
TransactionTuple(140,1820)
TransactionTuple(525,1820)
TransactionTuple(966,1813)
TransactionTuple(133,1813)
TransactionTuple(791,1813)
TransactionTuple(450,1813)
TransactionTuple(841,1806)
TransactionTuple(428,1806)
TransactionTuple(976,1806)
TransactionTuple(121,1799)
TransactionTuple(687,1799)
TransactionTuple(609,1799)
TransactionTuple(460,1792)
TransactionTuple(92,1792)
TransactionTuple(371,1792)
TransactionTuple(310,1792)
TransactionTuple(258,1792)
TransactionTuple(257,1785)
TransactionTuple(297,1785)
TransactionTuple(329,1785)
TransactionTuple(72,1785)
TransactionTuple(995,1785)
TransactionTuple(698,1778)
TransactionTuple(317,1778)
TransactionTuple(679,1778)
TransactionTuple(66,1778)
TransactionTuple(571,1778)
TransactionTuple(231,1778)
